Word,Category,Hint
Astrolabe,What,Ancient instrument for measuring celestial body positions
Slide Rule,What,A mechanical analog computer
Milling Machine,What,A machine tool that rotates a circular tool with several cutting edges
Drill Press,What,"A machine tool for drilling holes, set on a fixed stand"
Band Saw,What,"A power saw with a long, sharp blade consisting of a continuous band of toothed metal stretched"
Kiln,What,A furnace for firing pottery
Spinning Wheel,What,A device for spinning thread or yarn
Sextant,What,Navigational instrument for measuring angles
Zeppelin,What,A large German airship of the early 20th century
Unicycle,What,A single-wheeled vehicle on which the rider sits and pedals
Clavichord,What,"A small, quiet keyboard instrument whose strings are struck by brass wedges"
Hovercraft,What,Vehicle
Battering Ram,What,A heavy object swung or rammed against a door or wall to break it down
3D printer,What,Tool for creating objects out of filament
Triangle (instrument),What,Musical instrument
Microscope,What,Makes very small objects look larger
Accordion,What,Bellows-driven free-reed instrument
Didgeridoo,What,Australian Aboriginal wind instrument
Boomerang,What,A thrown tool that can return to the thrower
Sculpture,What,A three-dimensional work of art
Loom,What,An apparatus for making fabric by weaving
Thimble,What,Protects the finger when sewing
Geode,What,A rock containing a cavity lined with crystals
Periscope,What,Used in submarines to see above the water
Monocle,What,A single eyeglass
Bellows,What,A device for producing a strong current of air
Trebuchet,What,A type of catapult used in the medieval period
Guillotine,What,A machine for beheading people
Harpsichord,What,A keyboard instrument similar to a piano
Zither,What,A stringed instrument with strings stretched across a frame
Theremin,What,An electronic musical instrument controlled without physical contact
Synthesizer,What,An electronic keyboard that can generate various sounds
Tuning Fork,What,A two-pronged steel device used to tune instruments
Papyrus,What,A material prepared in ancient Egypt from a water plant
Vellum,What,Fine parchment made from the skin of a calf
Chisel,What,A long-bladed hand tool with a beveled cutting edge
Gavel,What,"A small mallet with which an auctioneer, judge, or chairperson hits a surface to call for attention or order"
Stirrup,What,"A pair of devices attached to each side of a horse's saddle, in the form of a loop with a flat base to support the rider's foot"
Horseshoe,What,A U-shaped plate nailed to a horse's hoof
Spur,What,A device with a small spike or a spiked wheel that is worn on a rider's heel for urging a horse forward
Crossbow,What,A medieval weapon consisting of a bow fixed across a wooden stock
Musket,What,"An infantryman's light gun with a long barrel, typically smooth-bored, muzzle-loading, and fired from the shoulder"
Bayonet,What,A blade that may be fixed to the muzzle of a rifle and used to stab an opponent in hand-to-hand fighting
Night-Vision Goggles,What,Goggles that allow the user to see in the dark
Telegraph,What,"A system for transmitting messages from a distance along a wire, especially one creating signals by making and breaking an electrical connection"
Semaphore,What,A system of sending messages by holding the arms or two flags or poles in certain positions according to an alphabetic code
Glider,What,A light aircraft that is designed to fly for long periods without using an engine
Blimp,What,A large airship without a rigid frame
Harmonica,What,A small rectangular wind instrument with a row of metal reeds that produce different notes
Pipe Organ,What,"A large musical instrument having rows of pipes supplied with air from bellows, and played with keyboards and pedals"
Cello,What,"A bass instrument of the violin family, held between the knees to play"
Double Bass,What,The largest and lowest-pitched bowed string instrument in the modern symphony orchestra
Clarinet,What,"A woodwind instrument with a single-reed mouthpiece, a cylindrical tube with a flared end, and holes stopped by keys"
Oboe,What,"A woodwind instrument with a double-reed mouthpiece, a slender tube, and a flared end"
Bassoon,What,A bass instrument of the oboe family with a double reed
Vibraphone,What,"A musical percussion instrument with a double row of tuned metal bars, each above a tubular resonator containing a motor-driven revolving vane"
Glockenspiel,What,A percussion instrument composed of a set of tuned keys arranged in the fashion of the keyboard of a piano
Celesta,What,A small keyboard instrument in which felt-covered hammers strike a series of steel plates
Moog Synthesizer,What,An analog synthesizer developed by the American engineer Robert Moog
White Cane,What,A long cane used by blind people to help them navigate
T-square,What,A T-shaped instrument for drawing or testing right angles
Micrometer,What,"A gauge which measures small distances or thicknesses between its two faces, one of which can be moved away from or toward the other by turning a screw with a fine thread"
Algae,What,Plant
Beehive,What,Animal habitat
Blizzard,What,Natural phenomenon
Bomber,What,Aircraft
Brain,What,Body part
Briefcase,What,Container
Bubble,What,Toy
Buffalo,What,Animal
Castle,What,Building
Cathedral,What,Building
Cave,What,Natural feature
Chameleon,What,Animal
Cherry blossom,What,Plant
Clownfish,What,Animal
Coral reef,What,Natural feature
Cowboy hat,What,Clothing
Crustacean,What,Animal
Crystal ball,What,Fortune-telling object
Earthquake,What,Natural phenomenon
Gas mask,What,Safety equipment
Gemstone,What,Jewelry material
Glue gun,What,Tool
Gunpowder,What,Explosive substance
Hang glider,What,Aircraft
Honeycomb,What,Animal product
Horse carriage,What,Vehicle
Houseboat,What,Vehicle
Igloo,What,Building
Ivory,What,Material
Jet ski,What,Vehicle
Laser,What,Electronic device
License,What,Permit
Life jacket,What,Safety gear
Lily,What,Plant
Lunar rover,What,Vehicle
Maze,What,Puzzle
Missile,What,Weapon
Moai,What,Monument
Modem,What,Electronic device
Oasis,What,Natural feature
Peacock,What,Animal
Perfume,What,Fragrance
Pickaxe,What,Tool
Ping pong table,What,Sports equipment
Planetarium,What,Science facility
Plough,What,Tool
Polaroid camera,What,Electronic device
Prairie,What,Natural area
Radar,What,Navigation tool
Rosetta Stone,What,Ancient artifact
Sapphire,What,Gemstone
Seahorse,What,Animal
Segway,What,Vehicle
Shipwreck,What,Historical object
Shotgun,What,Weapon
Skeleton,What,Anatomical model
Slingshot,What,Weapon
Spark plug,What,Engine part
Tank (vehicle),What,Vehicle
Temple,What,Building
Thunder,What,Natural phenomenon
Toaster,What,Browns slices of bread
Kettle,What,Boils water for tea or coffee
Guitar,What,Six-stringed musical instrument
Hammer,What,Used for hitting nails
Car,What,Four-wheeled road vehicle
Book,What,A set of written or printed pages
Telephone,What,Device for talking to someone far away
Scissors,What,Used for cutting paper or fabric
Watch,What,"Tells you the time, worn on a wrist"
Camera,What,Takes photographs or videos
Bicycle,What,Two-wheeled vehicle powered by pedals
Television,What,Displays broadcast programs
Computer,What,Electronic device for processing data
Piano,What,Musical instrument with black and white keys
Backpack,What,A bag carried on the shoulders
Umbrella,What,Protects from rain or sun
Glasses,What,Worn to correct vision
Screwdriver,What,Tool for turning screws
Wrench,What,Used to grip and turn nuts and bolts
Saw,What,Tool for cutting wood
Drill,What,Makes holes in walls or wood
Shovel,What,Used for digging or moving loose material
Ladder,What,Used for climbing up or down
Violin,What,Four-stringed instrument played with a bow
Drums,What,Percussion instrument played with sticks
Trumpet,What,Brass instrument with three valves
Flute,What,Woodwind instrument held horizontally
Saxophone,What,Curved brass instrument with a reed
Harp,What,Large triangular stringed instrument
Banjo,What,Stringed instrument with a round body
Ukulele,What,Small four-stringed Hawaiian guitar
Bagpipes,What,Scottish instrument with a bag and pipes
Microphone,What,Converts sound into an electrical signal
Headphones,What,Worn over the ears to listen to audio
Speaker,What,Converts electrical audio signals into sound
Keyboard,What,Used for typing on a computer
Mouse,What,Hand-held device to control a computer cursor
Printer,What,Produces a hard copy of a digital document
Laptop,What,A portable computer
Smartphone,What,A mobile phone with advanced capabilities
Tablet,What,A portable touchscreen computer
Drone,What,Unmanned aerial vehicle
Smartwatch,What,A computerized wristwatch
USB Drive,What,Small portable data storage device
Lego,What,Interlocking plastic construction bricks
Jigsaw Puzzle,What,Tiling puzzle requiring assembly of pieces
Chessboard,What,Board for a strategic two-player game
Playing Cards,What,A deck of 52 for games
Dice,What,Small cubes with numbered sides
Monopoly,What,Property trading board game
Scrabble,What,Word game played on a board
Rubik's Cube,What,3D combination puzzle
Yo-yo,What,Toy which spins on a string
Frisbee,What,A flying disc
Trampoline,What,A taut sheet for bouncing on
Football,What,Ball used in a popular winter sport
Basketball,What,Bounced and thrown through a hoop
Tennis Racket,What,Used to hit a ball over a net
Golf Club,What,Used to hit a small ball into a hole
Cricket Bat,What,Used by a batter to hit a ball
Baseball Bat,What,A smooth wooden or metal club
Hockey Stick,What,Used to hit a puck or ball
Skis,What,Used for gliding over snow
Snowboard,What,A board for riding on snow
Surfboard,What,Ridden on the crest of a wave
Kayak,What,"A small, narrow watercraft"
Canoe,What,"A lightweight, open-topped boat"
Dumbbell,What,A short bar with weights at each end
Barbell,What,A long bar with weights on each end
Yoga Mat,What,Used for practicing stretches and poses
Boxing Gloves,What,Padded protection for fists
Helmet,What,Protective headgear
Chair,What,A seat for one person
Sofa,What,A long upholstered seat with a back and arms
Bed,What,A piece of furniture used for sleeping
Desk,What,A piece of furniture with a writing surface
Bookshelf,What,A set of shelves for holding books
Cabinet,What,A cupboard with shelves or drawers
Dresser,What,"A chest of drawers, often with a mirror"
Wardrobe,What,A tall cupboard for hanging clothes
Lamp,What,A device for giving light
Lightbulb,What,An electric glass bulb that gives light
Battery,What,A device containing electric cells
Candle,What,A stick of wax with a wick for lighting
Mirror,What,A reflective surface
Clock,What,A device for measuring and indicating time
Radio,What,Receives broadcast audio signals
Newspaper,What,A printed publication of current events
Magazine,What,A periodical publication with articles and images
Pen,What,An instrument for writing with ink
Pencil,What,An instrument for writing with graphite
Crayon,What,A stick of colored wax for drawing
Paintbrush,What,A brush for applying paint
Canvas,What,"A strong, coarse cloth for painting on"
Easel,What,A stand for holding an artist's work
Pottery,What,Pots and other articles made from clay
Sewing Machine,What,A machine for stitching cloth
Thread,What,"A long, thin strand of cotton or silk"
Button,What,A small disc sewn onto a garment
Safety Pin,What,A pin with a guarded point
Duct Tape,What,"A strong, silver-colored adhesive tape"
Glue,What,An adhesive substance
Stapler,What,A device for fastening papers together
Paperclip,What,A piece of bent wire for holding papers
Envelope,What,A flat paper container for a letter
Stamp,What,Affixed to a letter to pay for postage
Postcard,What,A card for sending a message by mail
Binoculars,What,Magnifies distant objects for both eyes
Telescope,What,An optical instrument for observing distant objects
Compass,What,Shows direction relative to geographic points
Map,What,A diagrammatic representation of an area
Globe,What,A spherical model of the Earth
Abacus,What,A counting frame with beads
Typewriter,What,A machine for typing characters
Gramophone,What,An old-fashioned record player
Sundial,What,Tells the time by the position of the sun
Barometer,What,Measures atmospheric pressure
Thermometer,What,Measures temperature
Stethoscope,What,Used by doctors to listen to the heart or lungs
Syringe,What,A tube with a nozzle and piston for injection
Scalpel,What,"A knife with a small, sharp blade"
Bandage,What,A strip of material for binding a wound
Crutches,What,Supports used by an injured person to walk
Wheelchair,What,A chair with wheels for a person unable to walk
Tractor,What,A powerful motor vehicle for hauling equipment
Forklift,What,A vehicle with a pronged device for lifting
Crane,What,A machine for lifting and moving heavy objects
Bulldozer,What,A powerful tractor with a broad blade
Submarine,What,A watercraft capable of independent underwater operation
Helicopter,What,An aircraft with rotating blades
Aeroplane,What,A powered flying vehicle with fixed wings
Hot Air Balloon,What,An aircraft consisting of a bag filled with heated air
Spaceship,What,A vehicle designed to travel in outer space
Satellite,What,An artificial body placed in orbit
Fossil,What,The remains of a prehistoric organism
Crystal,What,A solid material with a repeating atomic structure
Meteorite,What,A piece of rock from outer space that has hit the Earth
Kaleidoscope,What,A toy with mirrors and colored glass
Pocket Watch,What,A timepiece carried in a pocket
Anvil,What,A heavy iron block for hammering metal
Mortar and Pestle,What,Used for crushing and grinding substances
Cauldron,What,A large metal pot for cooking over a fire
Catapult,What,A device for hurling projectiles
Chariot,What,A two-wheeled horse-drawn vehicle from ancient times
Metronome,What,A device that produces a steady beat
Spatula,What,"A kitchen utensil with a broad, flat blade"
Whisk,What,A utensil for whipping eggs or cream
Ladle,What,"A large, long-handled spoon"
Colander,What,A bowl-shaped utensil for draining food
Grater,What,A kitchen utensil for grating food
Rolling Pin,What,A cylinder for flattening dough
Can Opener,What,A device for opening tin cans
Corkscrew,What,A tool for drawing corks from bottles
Peeler,What,A tool for removing the outer layer of vegetables
Tongs,What,An instrument with two movable arms for picking things up
Wok,What,A bowl-shaped frying pan
Cleaver,What,"A large, heavy knife"
Coffee Maker,What,An appliance for brewing coffee
Microwave,What,An oven that heats food with specific radiation
Refrigerator,What,An appliance that keeps food cold
Freezer,What,An appliance for storing food at freezing temperatures
Dishwasher,What,A machine for washing dishes automatically
Washing Machine,What,An appliance for washing clothes
Clothes Dryer,What,An appliance for drying clothes
Iron,What,A heated tool for pressing clothes
Ironing Board,What,"A long, narrow board for pressing clothes on"
Vacuum Cleaner,What,A device that uses suction to clean floors
Broom,What,A long-handled brush for sweeping
